Date,Site,Distance,Spp.,Seedling,Morphology,Native?
2010-Sep-15,ANAO N,49.1,Aglaia mariannensis,1,tree,endemic
2010-Sep-15,ANAO N,47,Aglaia mariannensis,1,tree,endemic
2010-Sep-15,ANAO N,46,Aglaia mariannensis,1,tree,endemic
2010-Sep-15,ANAO N,42.9,Aglaia mariannensis,1,tree,endemic
2010-Sep-15,ANAO N,41.2,Aglaia mariannensis,1,tree,dead
2010-Sep-15,ANAO N,40.4,Aglaia mariannensis,1,tree,dead
2010-Sep-15,ANAO N,31.1,Aglaia mariannensis,1,tree,dead
2010-Sep-15,ANAO N,28,Aglaia mariannensis,1,tree,endemic
2010-Sep-15,ANAO N,20.7,Aglaia mariannensis,1,tree,endemic
2010-Sep-15,ANAO N,0.8,Aglaia mariannensis,1,tree,endemic
2010-Sep-15,ANAO N,25.8,Aglaia mariannensis,2,tree,endemic
2010-Sep-15,ANAO N,18,Aglaia mariannensis,2,tree,endemic
2010-Sep-15,ANAO N,49.7,Aglaia mariannensis,adult,tree,endemic
2010-Sep-15,ANAO N,49.5,Aglaia mariannensis,adult,tree,endemic
2010-Sep-15,ANAO N,49.1,Aglaia mariannensis,adult,tree,endemic
2010-Sep-15,ANAO N,49.1,Aglaia mariannensis,adult,tree,endemic
2010-Sep-15,ANAO N,47.9,Aglaia mariannensis,adult,tree,endemic
2010-Sep-15,ANAO N,47.1,Aglaia mariannensis,adult,tree,endemic
2010-Sep-15,ANAO N,37.7,Aglaia mariannensis,adult,tree,endemic
2010-Sep-15,ANAO N,18.8,Aglaia mariannensis,adult,tree,endemic
2010-Sep-15,ANAO N,18.5,Aglaia mariannensis,adult,tree,endemic
2010-Sep-15,ANAO N,5.8,Aglaia mariannensis,adult,tree,endemic
2010-Sep-15,ANAO N,0.9,Aglaia mariannensis,adult,tree,endemic
2010-Nov-30,ANAO N 2,42.7,Aglaia mariannensis,1,tree,endemic
2010-Nov-30,ANAO N 2,40.9,Aglaia mariannensis,1,tree,endemic
2010-Nov-30,ANAO N 2,39.8,Aglaia mariannensis,1,tree,endemic
2010-Nov-30,ANAO N 2,19.1,Aglaia mariannensis,1,tree,endemic
2010-Nov-30,ANAO N 2,16.6,Aglaia mariannensis,1,tree,endemic
2010-Nov-30,ANAO N 2,14.5,Aglaia mariannensis,1,tree,endemic
2010-Nov-30,ANAO N 2,9.7,Aglaia mariannensis,1,tree,endemic
2010-Nov-30,ANAO N 2,1.4,Aglaia mariannensis,1,tree,endemic
2010-Nov-30,ANAO N 2,18,Aglaia mariannensis,2,tree,endemic
2010-Nov-30,ANAO N 2,17.5,Aglaia mariannensis,2,tree,endemic
2010-Nov-30,ANAO N 2,41.8,Aglaia mariannensis,adult,tree,endemic
2010-Nov-30,ANAO N 2,40.8,Aglaia mariannensis,adult,tree,endemic
2010-Nov-30,ANAO N 2,39.6,Aglaia mariannensis,adult,tree,endemic
2010-Nov-30,ANAO N 2,38.8,Aglaia mariannensis,adult,tree,endemic
2010-Nov-30,ANAO N 2,36.5,Aglaia mariannensis,adult,tree,endemic
2010-Nov-30,ANAO N 2,24.8,Aglaia mariannensis,adult,tree,endemic
2010-Nov-30,ANAO N 2,18.7,Aglaia mariannensis,adult,tree,endemic
2010-Nov-30,ANAO N 2,17.1,Aglaia mariannensis,adult,tree,endemic
2010-Nov-30,ANAO N 2,15.5,Aglaia mariannensis,adult,tree,endemic
2010-Nov-30,ANAO N 2,14.8,Aglaia mariannensis,adult,tree,endemic
2010-Nov-30,ANAO N 2,8.6,Aglaia mariannensis,adult,tree,endemic
2010-Nov-30,ANAO N 2,6.9,Aglaia mariannensis,adult,tree,endemic
2010-Nov-30,ANAO N 2,3.3,Aglaia mariannensis,adult,tree,endemic
2010-Nov-30,ANAO N 2,1,Aglaia mariannensis,adult,tree,endemic
2010-Sep-01,ANAO S,41.8,Aglaia mariannensis,1,tree,endemic
2010-Sep-01,ANAO S,39.6,Aglaia mariannensis,1,tree,endemic
2010-Sep-01,ANAO S,36.3,Aglaia mariannensis,1,tree,endemic
2010-Sep-01,ANAO S,34.7,Aglaia mariannensis,1,tree,endemic
2010-Sep-01,ANAO S,37.5,Aglaia mariannensis,2,tree,endemic
2010-Sep-01,ANAO S,38,Aglaia mariannensis,3,tree,endemic
2010-Sep-01,ANAO S,39,Aglaia mariannensis,4,tree,endemic
2010-Sep-01,ANAO S,44.1,Aglaia mariannensis,adult,tree,endemic
2010-Sep-01,ANAO S,43.6,Aglaia mariannensis,adult,tree,endemic
2010-Sep-01,ANAO S,41.6,Aglaia mariannensis,adult,tree,endemic
2010-Sep-01,ANAO S,38.9,Aglaia mariannensis,adult,tree,endemic
2010-Sep-01,ANAO S,34.9,Aglaia mariannensis,adult,tree,endemic
2010-Sep-01,ANAO S,2.6,Aglaia mariannensis,adult,tree,endemic
2010-Nov-17,ANAO S 2,48.8,Aglaia mariannensis,1,tree,endemic
2010-Nov-17,ANAO S 2,48.6,Aglaia mariannensis,1,tree,endemic
2010-Nov-17,ANAO S 2,47.1,Aglaia mariannensis,1,tree,endemic
2010-Nov-17,ANAO S 2,46.5,Aglaia mariannensis,1,tree,endemic
2010-Nov-17,ANAO S 2,40.6,Aglaia mariannensis,1,tree,endemic
2010-Nov-17,ANAO S 2,40.2,Aglaia mariannensis,1,tree,endemic
2010-Nov-17,ANAO S 2,38.7,Aglaia mariannensis,1,tree,endemic
2010-Nov-17,ANAO S 2,23.9,Aglaia mariannensis,1,tree,endemic
2010-Nov-17,ANAO S 2,19.7,Aglaia mariannensis,1,tree,endemic
2010-Nov-17,ANAO S 2,13.1,Aglaia mariannensis,1,tree,endemic
2010-Nov-17,ANAO S 2,12.5,Aglaia mariannensis,1,tree,endemic
2010-Nov-17,ANAO S 2,12,Aglaia mariannensis,1,tree,endemic
2010-Nov-17,ANAO S 2,11.8,Aglaia mariannensis,1,tree,endemic
2010-Nov-17,ANAO S 2,8.8,Aglaia mariannensis,1,tree,endemic
2010-Nov-17,ANAO S 2,8.5,Aglaia mariannensis,1,tree,endemic
2010-Nov-17,ANAO S 2,8,Aglaia mariannensis,1,tree,endemic
2010-Nov-17,ANAO S 2,5.6,Aglaia mariannensis,1,tree,endemic
2010-Nov-17,ANAO S 2,5.5,Aglaia mariannensis,1,tree,endemic
2010-Nov-17,ANAO S 2,4.5,Aglaia mariannensis,1,tree,endemic
2010-Nov-17,ANAO S 2,46.7,Aglaia mariannensis,2,tree,endemic
2010-Nov-17,ANAO S 2,6.6,Aglaia mariannensis,2,tree,endemic
2010-Nov-17,ANAO S 2,38.4,Aglaia mariannensis,adult,tree,endemic
2010-Nov-17,ANAO S 2,29.1,Aglaia mariannensis,adult,tree,endemic
2010-Nov-17,ANAO S 2,26.8,Aglaia mariannensis,adult,tree,endemic
2010-Nov-17,ANAO S 2,26.7,Aglaia mariannensis,adult,tree,endemic
2010-Nov-17,ANAO S 2,21.5,Aglaia mariannensis,adult,tree,endemic
2010-Nov-17,ANAO S 2,11.7,Aglaia mariannensis,adult,tree,endemic
2010-Nov-17,ANAO S 2,2.9,Aglaia mariannensis,adult,tree,endemic
2010-Nov-17,ANAO S 2,2.4,Aglaia mariannensis,adult,tree,endemic
2011-Feb-02,GW,49.7,Aglaia mariannensis,adult,tree,endemic
2011-Feb-02,GW,49.6,Aglaia mariannensis,adult,tree,endemic
2011-Feb-02,GW,34.3,Aglaia mariannensis,adult,tree,endemic
2011-Feb-02,GW,30.6,Aglaia mariannensis,adult,tree,endemic
2010-Nov-19,NBLAS 2,46.5,Aglaia mariannensis,1,tree,endemic
2010-Nov-19,NBLAS 2,46.1,Aglaia mariannensis,1,tree,endemic
2010-Nov-19,NBLAS 2,45.7,Aglaia mariannensis,1,tree,endemic
2010-Nov-19,NBLAS 2,33.5,Aglaia mariannensis,1,tree,endemic
2010-Nov-19,NBLAS 2,23.5,Aglaia mariannensis,1,tree,endemic
2010-Nov-19,NBLAS 2,21.3,Aglaia mariannensis,1,tree,endemic
2010-Nov-19,NBLAS 2,49.7,Aglaia mariannensis,adult,tree,endemic
2010-Nov-19,NBLAS 2,32.8,Aglaia mariannensis,adult,tree,endemic
2010-Nov-19,NBLAS 2,26.6,Aglaia mariannensis,adult,tree,endemic
2010-Nov-19,NBLAS 2,22.2,Aglaia mariannensis,adult,tree,endemic
2010-Nov-19,NBLAS 2,14.6,Aglaia mariannensis,adult,tree,endemic
2010-Nov-19,NBLAS 2,14.6,Aglaia mariannensis,adult,tree,endemic
2010-Nov-19,NBLAS 2,11,Aglaia mariannensis,adult,tree,endemic
2010-Nov-19,NBLAS 2,9.1,Aglaia mariannensis,adult,tree,endemic
2010-Nov-19,NBLAS 2,4.9,Aglaia mariannensis,adult,tree,endemic
2010-Aug-30,RACETRACK,39.4,Aglaia mariannensis,1,tree,endemic
2010-Aug-30,RACETRACK,35.8,Aglaia mariannensis,1,tree,endemic
2010-Aug-30,RACETRACK,36.1,Aglaia mariannensis,1,tree,endemic
2010-Aug-30,RACETRACK,32,Aglaia mariannensis,1,tree,endemic
2010-Aug-30,RACETRACK,16,Aglaia mariannensis,1,tree,endemic
2010-Aug-30,RACETRACK,12,Aglaia mariannensis,1,tree,endemic
2010-Aug-30,RACETRACK,11,Aglaia mariannensis,1,tree,endemic
2010-Aug-30,RACETRACK,2.8,Aglaia mariannensis,1,tree,endemic
2010-Aug-30,RACETRACK,39.2,Aglaia mariannensis,2,tree,endemic
2010-Aug-30,RACETRACK,28.8,Aglaia mariannensis,2,tree,endemic
2010-Aug-30,RACETRACK,13,Aglaia mariannensis,2,tree,endemic
2010-Aug-30,RACETRACK,10,Aglaia mariannensis,2,tree,endemic
2010-Aug-30,RACETRACK,13,Aglaia mariannensis,4,tree,endemic
2010-Aug-30,RACETRACK,12,Aglaia mariannensis,4,tree,endemic
2010-Aug-30,RACETRACK,12,Aglaia mariannensis,4,tree,endemic
2010-Aug-30,RACETRACK,11,Aglaia mariannensis,5,tree,endemic
2010-Aug-30,RACETRACK,48.6,Aglaia mariannensis,adult,tree,endemic
2010-Aug-30,RACETRACK,43.9,Aglaia mariannensis,adult,tree,endemic
2010-Aug-30,RACETRACK,43.9,Aglaia mariannensis,adult,tree,endemic
2010-Aug-30,RACETRACK,43.3,Aglaia mariannensis,adult,tree,endemic
2010-Aug-30,RACETRACK,39.9,Aglaia mariannensis,adult,tree,endemic
2010-Aug-30,RACETRACK,38.9,Aglaia mariannensis,adult,tree,endemic
2010-Aug-30,RACETRACK,34.1,Aglaia mariannensis,adult,tree,endemic
2010-Aug-30,RACETRACK,34.1,Aglaia mariannensis,adult,tree,endemic
2010-Aug-30,RACETRACK,33.1,Aglaia mariannensis,adult,tree,endemic
2010-Aug-30,RACETRACK,30.3,Aglaia mariannensis,adult,tree,endemic
2010-Aug-30,RACETRACK,25,Aglaia mariannensis,adult,tree,endemic
2010-Aug-30,RACETRACK,13,Aglaia mariannensis,adult,tree,endemic
2010-Aug-30,RACETRACK,12.4,Aglaia mariannensis,adult,tree,endemic
2010-Aug-30,RACETRACK,12.5,Aglaia mariannensis,adult,tree,endemic
