island,site,species,plantdt,trt,numplant,checkdt,alive,dead,propalive,deer abundance,pig abundance,length exposure
guam,ann,carica,10-Apr,fenced,14,10-Oct,13,1,0.928571429,low,high,548
guam,ans,carica,10-Apr,fenced,14,10-Oct,4,10,0.285714286,low,low,548
guam,nblas,carica,10-Apr,fenced,14,10-Oct,1,13,0.071428571,low,low,548
guam,race,carica,10-Apr,fenced,14,10-Oct,4,10,0.285714286,high,high,548
guam,racefr,carica,10-Apr,fenced,14,10-Oct,14,0,1,low,low,548
guam,ritdgate,carica,10-Apr,fenced,14,10-Oct,13,1,0.928571429,high,high,548
guam,ritdgrid,carica,10-Apr,fenced,14,10-Oct,11,3,0.785714286,high,high,548
guam,sblas,carica,10-Apr,fenced,14,10-Oct,14,0,1,high,low,548
rota,bird,carica,10-Apr,fenced,9,10-Oct,2,7,0.222222222,high,low,548
rota,cross,carica,10-Apr,fenced,9,10-Oct,8,1,0.888888889,low,low,548
rota,grvpt,carica,10-Apr,fenced,9,10-Oct,8,1,0.888888889,high,high,548
rota,jsc,carica,10-Apr,fenced,9,10-Oct,0,9,0,high,high,548
rota,midfig,carica,10-Apr,fenced,9,10-Oct,0,9,0,high,high,548
rota,palie,carica,10-Apr,fenced,9,10-Oct,7,2,0.777777778,low,low,548
rota,paliw,carica,10-Apr,fenced,9,10-Oct,5,4,0.555555556,low,low,548
guam,ann,carica,10-Apr,ungulate,14,10-Oct,13,1,0.928571429,low,high,548
guam,ans,carica,10-Apr,ungulate,14,10-Oct,0,14,0,low,low,548
guam,nblas,carica,10-Apr,ungulate,14,10-Oct,0,14,0,low,low,548
guam,race,carica,10-Apr,ungulate,14,10-Oct,11,3,0.785714286,high,high,548
guam,racefr,carica,10-Apr,ungulate,14,10-Oct,10,4,0.714285714,low,low,548
guam,ritdgate,carica,10-Apr,ungulate,14,10-Oct,2,12,0.142857143,high,high,548
guam,ritdgrid,carica,10-Apr,ungulate,14,10-Oct,1,13,0.071428571,high,high,548
guam,sblas,carica,10-Apr,ungulate,14,10-Oct,0,14,0,high,low,548
rota,bird,carica,10-Apr,ungulate,9,10-Oct,0,9,0,high,low,548
rota,cross,carica,10-Apr,ungulate,9,10-Oct,1,8,0.111111111,low,low,548
rota,grvpt,carica,10-Apr,ungulate,9,10-Oct,1,8,0.111111111,high,high,548
rota,jsc,carica,10-Apr,ungulate,9,10-Oct,0,9,0,high,high,548
rota,midfig,carica,10-Apr,ungulate,9,10-Oct,0,9,0,high,high,548
rota,palie,carica,10-Apr,ungulate,9,10-Oct,6,3,0.666666667,low,low,548
rota,paliw,carica,10-Apr,ungulate,9,10-Oct,6,3,0.666666667,low,low,548
guam,ann,morinda,17-Jun-10,fenced,14,30-Jun-11,12,2,0.857142857,low,high,378
guam,ans,morinda,17-Jun-10,fenced,14,30-Jun-11,8,6,0.571428571,low,low,378
guam,nblas,morinda,17-Jun-10,fenced,14,30-Jun-11,13,1,0.928571429,low,low,378
guam,race,morinda,24-Jun-10,fenced,14,1-Jul-11,14,0,1,high,high,372
guam,racefr,morinda,24-Jun-10,fenced,14,1-Jul-11,6,8,0.428571429,low,low,372
guam,ritdgate,morinda,13-Nov-10,fenced,14,1-Jul-11,14,0,1,high,high,230
guam,ritdgrid,morinda,17-Jun-10,fenced,14,1-Jul-11,9,5,0.642857143,high,high,379
guam,sblas,morinda,17-Jun-10,fenced,14,30-Jun-11,14,0,1,high,low,378
rota,bird,morinda,NA,fenced,11,7-Jul-11,4,7,0.363636364,high,low,#VALUE!
rota,cross,morinda,NA,fenced,11,9-Jul-11,7,4,0.636363636,low,low,#VALUE!
rota,grvpt,morinda,NA,fenced,11,8-Jul-11,8,3,0.727272727,high,high,#VALUE!
rota,jsc,morinda,NA,fenced,11,8-Jul-11,2,9,0.181818182,high,high,#VALUE!
rota,midfig,morinda,NA,fenced,11,8-Jul-11,0,11,0,high,high,#VALUE!
rota,palie,morinda,NA,fenced,11,7-Jul-11,11,0,1,low,low,#VALUE!
rota,paliw,morinda,NA,fenced,11,7-Jul-11,2,9,0.181818182,low,low,#VALUE!
guam,ann,morinda,17-Jun-10,ungulate,14,30-Jun-11,10,4,0.714285714,low,high,378
guam,ans,morinda,17-Jun-10,ungulate,14,30-Jun-11,11,3,0.785714286,low,low,378
guam,nblas,morinda,17-Jun-10,ungulate,14,30-Jun-11,13,1,0.928571429,low,low,378
guam,race,morinda,24-Jun-10,ungulate,14,1-Jul-11,11,3,0.785714286,high,high,372
guam,racefr,morinda,24-Jun-10,ungulate,14,1-Jul-11,11,3,0.785714286,low,low,372
guam,ritdgate,morinda,13-Nov-10,ungulate,14,1-Jul-11,5,9,0.357142857,high,high,230
guam,ritdgrid,morinda,17-Jun-10,ungulate,14,1-Jul-11,5,9,0.357142857,high,high,379
guam,sblas,morinda,17-Jun-10,ungulate,14,30-Jun-11,2,12,0.142857143,high,low,378
rota,bird,morinda,NA,ungulate,11,7-Jul-11,1,10,0.090909091,high,low,#VALUE!
rota,cross,morinda,NA,ungulate,11,9-Jul-11,0,11,0,low,low,#VALUE!
rota,grvpt,morinda,NA,ungulate,11,8-Jul-11,9,2,0.818181818,high,high,#VALUE!
rota,jsc,morinda,NA,ungulate,11,8-Jul-11,8,3,0.727272727,high,high,#VALUE!
rota,midfig,morinda,NA,ungulate,11,8-Jul-11,0,11,0,high,high,#VALUE!
