island,site,species,plantdt,trt,numplant,checkdt,alive,dead,propalive,length.exposure
guam,ann,aglaia,11-Nov-10,ungulate,14,30-Jun-11,12,2,0.857142857,231
guam,ann,morinda,17-Jun-10,ungulate,14,30-Jun-11,10,4,0.714285714,378
guam,ann,neiso,8-May-10,ungulate,7,30-Jun-11,7,0,1,418
guam,ann,premna,4-Dec-10,ungulate,14,30-Jun-11,0,14,0,208
guam,ann,psychotria,10-Mar-11,ungulate,14,30-Jun-11,8,6,0.571428571,112
guam,ann,aglaia,11-Nov-10,fenced,14,30-Jun-11,11,3,0.785714286,231
guam,ann,morinda,17-Jun-10,fenced,14,30-Jun-11,12,2,0.857142857,378
guam,ann,neiso,8-May-10,fenced,7,30-Jun-11,7,0,1,418
guam,ann,premna,4-Dec-10,fenced,14,30-Jun-11,0,14,0,208
guam,ann,psychotria,10-Mar-11,fenced,14,30-Jun-11,12,2,0.857142857,112
guam,ann,carica,10-Apr,ungulate,14,10-Oct,13,1,0.928571429,183
guam,ann,carica,10-Apr,fenced,14,10-Oct,13,1,0.928571429,183
guam,ans,aglaia,10-Nov-10,ungulate,14,30-Jun-11,4,10,0.285714286,232
guam,ans,morinda,17-Jun-10,ungulate,14,30-Jun-11,11,3,0.785714286,378
guam,ans,neiso,11-May-10,ungulate,7,30-Jun-11,4,3,0.571428571,415
guam,ans,premna,4-Dec-10,ungulate,14,30-Jun-11,0,14,0,208
guam,ans,psychotria,10-Mar-11,ungulate,14,30-Jun-11,4,10,0.285714286,112
guam,ans,aglaia,10-Nov-10,fenced,14,30-Jun-11,9,5,0.642857143,232
guam,ans,morinda,17-Jun-10,fenced,14,30-Jun-11,8,6,0.571428571,378
guam,ans,neiso,11-May-10,fenced,7,30-Jun-11,3,4,0.428571429,415
guam,ans,premna,4-Dec-10,fenced,14,30-Jun-11,0,14,0,208
guam,ans,psychotria,10-Mar-11,fenced,14,30-Jun-11,6,8,0.428571429,112
guam,ans,carica,10-Apr,ungulate,14,10-Oct,0,14,0,183
guam,ans,carica,10-Apr,fenced,14,10-Oct,4,10,0.285714286,183
guam,nblas,aglaia,12-Nov-10,ungulate,14,30-Jun-11,9,5,0.642857143,230
guam,nblas,morinda,17-Jun-10,ungulate,14,30-Jun-11,13,1,0.928571429,378
guam,nblas,neiso,12-May-10,ungulate,7,30-Jun-11,7,0,1,414
guam,nblas,premna,7-Dec-10,ungulate,14,30-Jun-11,2,12,0.142857143,205
guam,nblas,psychotria,9-Mar-11,ungulate,14,30-Jun-11,5,9,0.357142857,113
guam,nblas,aglaia,12-Nov-10,fenced,14,30-Jun-11,11,3,0.785714286,230
guam,nblas,morinda,17-Jun-10,fenced,14,30-Jun-11,13,1,0.928571429,378
guam,nblas,neiso,12-May-10,fenced,7,30-Jun-11,7,0,1,414
guam,nblas,premna,7-Dec-10,fenced,14,30-Jun-11,8,6,0.571428571,205
guam,nblas,psychotria,9-Mar-11,fenced,14,30-Jun-11,12,2,0.857142857,113
guam,nblas,carica,10-Apr,ungulate,14,10-Oct,0,14,0,183
guam,nblas,carica,10-Apr,fenced,14,10-Oct,1,13,0.071428571,183
guam,race,aglaia,12-Nov-10,ungulate,14,1-Jul-11,14,0,1,231
guam,race,morinda,24-Jun-10,ungulate,14,1-Jul-11,11,3,0.785714286,372
guam,race,neiso,11-May-10,ungulate,7,1-Jul-11,7,0,1,416
guam,race,premna,7-Dec-10,ungulate,14,1-Jul-11,8,6,0.571428571,206
guam,race,psychotria,9-Mar-11,ungulate,14,1-Jul-11,11,3,0.785714286,114
guam,race,aglaia,12-Nov-10,fenced,14,1-Jul-11,13,1,0.928571429,231
guam,race,morinda,24-Jun-10,fenced,14,1-Jul-11,14,0,1,372
