"Date","site","Transect","Distance","plant_spp","height","DBH..cm.","seedlings","Herbivory.","Epiphytes","Species.Counts"
"10/5/2011","aafb golf",1,"49.1","AGMA","","",1,"","",41
"10/5/2011","aafb golf",1,"43.2","AGMA","","",1,"","",41
"10/5/2011","aafb golf",1,"42.6","AGMA","","",1,"","",41
"10/5/2011","aafb golf",1,"40.4","AGMA","","",1,"","",41
"10/5/2011","aafb golf",1,"38.1","AGMA","","",1,"","",41
"10/5/2011","aafb golf",1,"37.8","AGMA","","",1,"","",41
"10/5/2011","aafb golf",1,"36.2","AGMA","","",1,"","",41
"10/5/2011","aafb golf",1,"32.7","AGMA","","",1,"","",41
"10/5/2011","aafb golf",1,"29.8","AGMA","","",1,"","",41
"10/5/2011","aafb golf",1,"29.2","AGMA","","",1,"","",41
"10/5/2011","aafb golf",1,"27.9","AGMA","","",1,"","",41
"10/5/2011","aafb golf",1,"26.6","AGMA","","",1,"","",41
"10/5/2011","aafb golf",1,"21.1","AGMA","","",1,"","",41
"10/5/2011","aafb golf",1,"19.1","AGMA","","",1,"","",41
"10/5/2011","aafb golf",1,"5.3","AGMA","","",1,"","",41
"10/5/2011","aafb golf",2,"47.9","AGMA","","",1,"","",41
"10/5/2011","aafb golf",2,"39.8","AGMA","","",1,"","",41
"10/5/2011","aafb golf",2,"28.7","AGMA","","",1,"","",41
"10/5/2011","aafb golf",2,"10.8","AGMA","","",1,"","",41
"10/5/2011","aafb golf",2,"6","AGMA","","",1,"","",41
"10/5/2011","aafb golf",1,"42.4","AGMA","","",2,"","",41
"10/5/2011","aafb golf",1,"22.5","AGMA","","",2,"","",41
"10/5/2011","aafb golf",1,"19.4","AGMA","","",2,"","",41
"10/5/2011","aafb golf",1,"41.8","AGMA","","",3,"","",41
"10/5/2011","aafb golf",1,"42.9","AGMA","","",4,"","",41
"10/5/2011","aafb golf",1,"42.1","AGMA","","",6,"","",41
"10/5/2011","aafb golf",1,"40.8","AGMA","2.3","",NA,"","",41
"10/5/2011","aafb golf",1,"40.3","AGMA","1.2","",NA,"","",41
"10/5/2011","aafb golf",1,"32.4","AGMA","10","",NA,"","",41
"10/5/2011","aafb golf",1,"29.8","AGMA","6","",NA,"","",41
"10/5/2011","aafb golf",1,"28.8","AGMA","1.8","",NA,"","",41
"10/5/2011","aafb golf",1,"6.7","AGMA","7.2","",NA,"","",41
"10/5/2011","aafb golf",2,"48","AGMA","7","",NA,"","",41
"10/5/2011","aafb golf",2,"33.9","AGMA","1.9","",NA,"","",41
"10/5/2011","aafb golf",2,"32.3","AGMA","6.2","",NA,"","",41
"10/5/2011","aafb golf",2,"32","AGMA","10","",NA,"","",41
"10/5/2011","aafb golf",2,"22","AGMA","7.1","",NA,"","",41
"10/5/2011","aafb golf",2,"17.8","AGMA","7","",NA,"","",41
"10/5/2011","aafb golf",2,"17.4","AGMA","8.1","",NA,"","",41
"10/5/2011","aafb golf",2,"5.5","AGMA","6.2","",NA,"","",41
"10/5/2011","aafb golf",2,"5.5","AGMA","0.2","",NA,"","",41
"8/24/2011","anao n",1,"38","AGMA","","",1,"","",50
"8/24/2011","anao n",1,"36.1","AGMA","","",1,"","",50
"8/24/2011","anao n",1,"33.2","AGMA","","",1,"","",50
"8/24/2011","anao n",1,"31.1","AGMA","","",1,"","",50
"8/24/2011","anao n",1,"20.1","AGMA","","",1,"","",50
"8/24/2011","anao n",1,"17.5","AGMA","","",1,"","",50
"8/24/2011","anao n",1,"11.7","AGMA","","",1,"","",50
"8/24/2011","anao n",1,"10.4","AGMA","","",1,"","",50
"8/24/2011","anao n",1,"2.1","AGMA","","",1,"","",50
"8/24/2011","anao n",2,"36.3","AGMA","","",1,"","",50
"8/24/2011","anao n",2,"12.2","AGMA","","",1,"","",50
"8/24/2011","anao n",2,"11.5","AGMA","","",1,"","",50
"8/24/2011","anao n",2,"10.9","AGMA","","",1,"","",50
"8/24/2011","anao n",2,"9.8","AGMA","","",1,"","",50
"8/24/2011","anao n",2,"4.3","AGMA","","",1,"","",50
"8/24/2011","anao n",1,"31.5","AGMA","","",2,"","",50
"8/24/2011","anao n",1,"27.2","AGMA","","",2,"","",50
"8/24/2011","anao n",1,"20.7","AGMA","","",2,"","",50
"8/24/2011","anao n",2,"11.2","AGMA","","",2,"","",50
"8/24/2011","anao n",2,"11","AGMA","","",2,"","",50
"8/24/2011","anao n",1,"43","AGMA","","",3,"","",50
"8/24/2011","anao n",1,"43","AGMA","","",3,"","",50
"8/24/2011","anao n",1,"32.5","AGMA","","",3,"","",50
"8/24/2011","anao n",1,"19.3","AGMA","","",3,"","",50
"8/24/2011","anao n",1,"18","AGMA","","",3,"","",50
"8/24/2011","anao n",2,"10.3","AGMA","","",3,"","",50
"8/24/2011","anao n",2,"8","AGMA","","",3,"","",50
"8/24/2011","anao n",2,"7","AGMA","","",3,"","",50
"8/24/2011","anao n",1,"43.5","AGMA","","",4,"","",50
"8/24/2011","anao n",1,"42","AGMA","","",4,"","",50
"8/24/2011","anao n",1,"19","AGMA","","",4,"","",50
"8/24/2011","anao n",2,"9.3","AGMA","","",4,"","",50
"8/24/2011","anao n",2,"9","AGMA","","",4,"","",50
"8/24/2011","anao n",2,"8","AGMA","","",5,"","",50
"8/24/2011","anao n",1,"19","AGMA","","",8,"","",50
"8/24/2011","anao n",1,"29","AGMA","7.5","",NA,"","ASNI",50
"8/24/2011","anao n",1,"49.3","AGMA","9","",NA,"","ASNI, MIMI, CHOD",50
"8/24/2011","anao n",1,"27.7","AGMA","10","",NA,"","COGR",50
"8/24/2011","anao n",1,"2.6","AGMA","7","",NA,"","FLIN",50
"8/24/2011","anao n",1,"33.5","AGMA","0.4","",NA,"","",50
"8/24/2011","anao n",1,"32.9","AGMA","4.2","",NA,"","",50
"8/24/2011","anao n",2,"8.3","AGMA","9","",NA,"","FLIN",50
"8/24/2011","anao n",2,"21.9","AGMA","","",NA,"","FLIN, COGR",50
"8/24/2011","anao n",2,"44.4","AGMA","2.1","",NA,"","MIMI",50
"8/24/2011","anao n",2,"24","AGMA","1.8","",NA,"","PASU, MIMI",50
"8/24/2011","anao n",2,"48.2","AGMA","1.4","",NA,"","",50
"8/24/2011","anao n",2,"29.9","AGMA","1.1","",NA,"","",50
"8/24/2011","anao n",2,"26.6","AGMA","1","",NA,"","",50
"8/24/2011","anao n",2,"14.9","AGMA","0.4","",NA,"","",50
"8/24/2011","anao n",2,"12.7","AGMA","1.2","",NA,"","",50
"7/27/2011","anao s",1,"47.9","AGMA","","",1,"","",31
"7/27/2011","anao s",1,"47.5","AGMA","","",1,"","",31
"7/27/2011","anao s",1,"47","AGMA","","",1,"","",31
"7/27/2011","anao s",1,"45.8","AGMA","","",1,"","",31
