Date,Site,Transect,Distance,Spp.,Height (m),DBH (cm),Seedling?,Herbivory?,Epiphytes,Species Counts,
10/5/11,AAFB GOLF,1,49.1,AGMA,,,1,,,41,
10/5/11,AAFB GOLF,1,43.2,AGMA,,,1,,,41,
10/5/11,AAFB GOLF,1,42.6,AGMA,,,1,,,41,
10/5/11,AAFB GOLF,1,40.4,AGMA,,,1,,,41,
10/5/11,AAFB GOLF,1,38.1,AGMA,,,1,,,41,
10/5/11,AAFB GOLF,1,37.8,AGMA,,,1,,,41,
10/5/11,AAFB GOLF,1,36.2,AGMA,,,1,,,41,
10/5/11,AAFB GOLF,1,32.7,AGMA,,,1,,,41,
10/5/11,AAFB GOLF,1,29.8,AGMA,,,1,,,41,
10/5/11,AAFB GOLF,1,29.2,AGMA,,,1,,,41,
10/5/11,AAFB GOLF,1,27.9,AGMA,,,1,,,41,
10/5/11,AAFB GOLF,1,26.6,AGMA,,,1,,,41,
10/5/11,AAFB GOLF,1,21.1,AGMA,,,1,,,41,
10/5/11,AAFB GOLF,1,19.1,AGMA,,,1,,,41,
10/5/11,AAFB GOLF,1,5.3,AGMA,,,1,,,41,
10/5/11,AAFB GOLF,2,47.9,AGMA,,,1,,,41,
10/5/11,AAFB GOLF,2,39.8,AGMA,,,1,,,41,
10/5/11,AAFB GOLF,2,28.7,AGMA,,,1,,,41,
10/5/11,AAFB GOLF,2,10.8,AGMA,,,1,,,41,
10/5/11,AAFB GOLF,2,6,AGMA,,,1,,,41,
10/5/11,AAFB GOLF,1,42.4,AGMA,,,2,,,41,
10/5/11,AAFB GOLF,1,22.5,AGMA,,,2,,,41,
10/5/11,AAFB GOLF,1,19.4,AGMA,,,2,,,41,
10/5/11,AAFB GOLF,1,41.8,AGMA,,,3,,,41,
10/5/11,AAFB GOLF,1,42.9,AGMA,,,4,,,41,
10/5/11,AAFB GOLF,1,42.1,AGMA,,,6,,,41,39
10/5/11,AAFB GOLF,1,40.8,AGMA,2.3,,,,,41,
10/5/11,AAFB GOLF,1,40.3,AGMA,1.2,,,,,41,
10/5/11,AAFB GOLF,1,32.4,AGMA,10,,,,,41,
10/5/11,AAFB GOLF,1,29.8,AGMA,6,,,,,41,
10/5/11,AAFB GOLF,1,28.8,AGMA,1.8,,,,,41,
10/5/11,AAFB GOLF,1,6.7,AGMA,7.2,,,,,41,
10/5/11,AAFB GOLF,2,48,AGMA,7,,,,,41,
10/5/11,AAFB GOLF,2,33.9,AGMA,1.9,,,,,41,
10/5/11,AAFB GOLF,2,32.3,AGMA,6.2,,,,,41,
10/5/11,AAFB GOLF,2,32,AGMA,10,,,,,41,
10/5/11,AAFB GOLF,2,22,AGMA,7.1,,,,,41,
10/5/11,AAFB GOLF,2,17.8,AGMA,7,,,,,41,
10/5/11,AAFB GOLF,2,17.4,AGMA,8.1,,,,,41,
10/5/11,AAFB GOLF,2,5.5,AGMA,6.2,,,,,41,
10/5/11,AAFB GOLF,2,5.5,AGMA,0.2,,,,,41,
10/5/11,AAFB GOLF,1,42.8,ASNI,0.05,,,,,2,
10/5/11,AAFB GOLF,1,41.4,ASNI,0.05,,,,,2,
10/5/11,AAFB GOLF,1,47.8,ASPO,0.05,,,,,1,
10/5/11,AAFB GOLF,2,33.5,CAPA,,,1,,,4,
10/5/11,AAFB GOLF,1,16.5,CAPA,,,2,,,4,
10/5/11,AAFB GOLF,1,17.5,CAPA,,,3,,,4,6
10/5/11,AAFB GOLF,1,16.4,CAPA,0.5,,,,,4,
10/5/11,AAFB GOLF,1,33.5,CYMI,2.3,,,,,6,
10/5/11,AAFB GOLF,1,26.4,CYMI,2,,,,,6,
10/5/11,AAFB GOLF,1,24.7,CYMI,2.2,,,,,6,
10/5/11,AAFB GOLF,1,12.6,CYMI,3.1,,,,,6,
10/5/11,AAFB GOLF,2,20.5,CYMI,2,,,,,6,
10/5/11,AAFB GOLF,2,3.9,CYMI,1.8,,,,,6,
10/5/11,AAFB GOLF,1,30.6,CYRA,6.5,,,,ASNI,1,
10/5/11,AAFB GOLF,1,45,dead CYMI stump,,,,,,3,
10/5/11,AAFB GOLF,1,17.5,dead CYMI stump,,,,,,3,
10/5/11,AAFB GOLF,2,35.7,dead CYMI stump,,,,,,3,
10/5/11,AAFB GOLF,2,41.5,dead log,,,,,,1,
10/5/11,AAFB GOLF,2,17.1,dead stump,,,,,,3,
10/5/11,AAFB GOLF,2,12.2,dead stump,,,,,,3,
10/5/11,AAFB GOLF,2,11.6,dead stump,,,,,,3,
10/5/11,AAFB GOLF,1,0.5,Dendrocnide,7,,,,,1,
10/5/11,AAFB GOLF,1,27.9,FLIN,,,1,,,6,
10/5/11,AAFB GOLF,1,9.2,FLIN,,,1,,,6,
10/5/11,AAFB GOLF,2,39.8,FLIN,,,1,,,6,
10/5/11,AAFB GOLF,2,28.7,FLIN,,,1,,,6,
