island,site,species,pig,deer,adult,seedlings
guam,aafb golf,agma,0.333333333,7.666666667,15,39
guam,anao n,agma,0.442477876,0.737463127,15,82
guam,anao s,agma,0.256410256,0.769230769,15,19
guam,gw,agma,0.0001,0.0001,4,2
guam,hmu,agma,0.0001,0.25974026,4,61
guam,nblas,agma,0.0001,0.444444444,16,40
guam,nw field,agma,0.711743772,14.23487544,21,31
guam,racetrack,agma,2.380952381,1.428571429,37,25
guam,ritd gate,agma,1.353965184,4.835589942,5,40
guam,ritd grid,agma,1.035196687,12.83643892,20,147
guam,sblas,agma,0.444444444,1.777777778,22,79
guam,switchbacks,agma,1.10864745,10.86474501,0,34
guam,tangison,agma,0.258397933,0.0001,3,110
guam,tartop,agma,0.787401575,23.22834646,15,33
rota,bird,agma,0.0001,4.923076923,6,3
rota,cross,agma,0.189753321,0.189753321,1,0
rota,gravelpit,agma,1.133144476,4.249291785,0,0
rota,jcs,agma,0.340136054,1.360544218,5,4
rota,midfig,agma,2.083333333,5.729166667,0,0
rota,palii north,agma,0.0001,0.0001,1,15
rota,palii south,agma,0.239808153,0.71942446,9,13
guam,aafb golf,capa,0.333333333,7.666666667,1,6
guam,anao n,capa,0.442477876,0.737463127,0,0
guam,anao s,capa,0.256410256,0.769230769,0,0
guam,gw,capa,0.0001,0.0001,0,0
guam,hmu,capa,0.0001,0.25974026,0,0
guam,nblas,capa,0.0001,0.444444444,0,0
guam,nw field,capa,0.711743772,14.23487544,0,0
guam,racetrack,capa,2.380952381,1.428571429,0,0
guam,ritd gate,capa,1.353965184,4.835589942,0,0
guam,ritd grid,capa,1.035196687,12.83643892,0,0
guam,sblas,capa,0.444444444,1.777777778,0,0
guam,switchbacks,capa,1.10864745,10.86474501,0,0
guam,tangison,capa,0.258397933,0.0001,0,0
guam,tartop,capa,0.787401575,23.22834646,0,0
rota,bird,capa,0.0001,4.923076923,8,0
rota,cross,capa,0.189753321,0.189753321,0,1
rota,gravelpit,capa,1.133144476,4.249291785,0,0
rota,jcs,capa,0.340136054,1.360544218,0,0
rota,midfig,capa,2.083333333,5.729166667,0,0
rota,palii north,capa,0.0001,0.0001,1,0
rota,palii south,capa,0.239808153,0.71942446,0,0
guam,aafb golf,moci,0.333333333,7.666666667,0,0
guam,anao n,moci,0.442477876,0.737463127,0,0
guam,anao s,moci,0.256410256,0.769230769,0,0
guam,gw,moci,0.0001,0.0001,0,0
guam,hmu,moci,0.0001,0.25974026,0,0
guam,nblas,moci,0.0001,0.444444444,1,16
guam,nw field,moci,0.711743772,14.23487544,1,5
