island,site,species,trt,plantdt,checkdt,numplant,alive,dead,deer abundance,pig abundance
guam,ann,aglaia,fenced,11/11/10,6/30/11,14,11,3,low,high
guam,ans,aglaia,fenced,11/10/10,6/30/11,14,9,5,low,low
guam,nblas,aglaia,fenced,11/12/10,6/30/11,14,11,3,low,low
guam,race,aglaia,fenced,11/12/10,7/1/11,14,13,1,high,high
guam,racefr,aglaia,fenced,11/11/10,7/1/11,14,6,8,low,low
guam,ritdgate,aglaia,fenced,11/12/10,7/1/11,14,14,0,high,high
guam,ritdgrid,aglaia,fenced,11/13/10,7/1/11,14,12,2,high,high
guam,sblas,aglaia,fenced,11/12/10,6/30/11,14,10,4,high,low
guam,ann,aglaia,ungulate,11/11/10,6/30/11,14,12,2,low,high
guam,ans,aglaia,ungulate,11/10/10,6/30/11,14,4,10,low,low
guam,nblas,aglaia,ungulate,11/12/10,6/30/11,14,9,5,low,low
guam,race,aglaia,ungulate,11/12/10,7/1/11,14,14,0,high,high
guam,racefr,aglaia,ungulate,11/11/10,7/1/11,14,7,7,low,low
guam,ritdgate,aglaia,ungulate,11/12/10,7/1/11,14,9,5,high,high
guam,ritdgrid,aglaia,ungulate,11/13/10,7/1/11,14,13,1,high,high
guam,sblas,aglaia,ungulate,11/12/10,6/30/11,14,8,6,high,low
rota,bird,aglaia,fenced,NA,7/7/11,14,6,8,high,low
rota,cross,aglaia,fenced,NA,7/9/11,14,12,2,low,low
rota,grvpt,aglaia,fenced,NA,7/8/11,14,4,10,high,high
rota,jsc,aglaia,fenced,NA,7/8/11,14,1,13,high,high
rota,midfig,aglaia,fenced,NA,7/8/11,14,7,7,high,high
rota,palie,aglaia,fenced,NA,7/7/11,14,13,1,low,low
rota,paliw,aglaia,fenced,NA,7/7/11,14,11,3,low,low
rota,bird,aglaia,ungulate,NA,7/7/11,14,10,4,high,low
rota,cross,aglaia,ungulate,NA,7/9/11,14,11,3,low,low
rota,grvpt,aglaia,ungulate,NA,7/8/11,14,6,8,high,high
rota,jsc,aglaia,ungulate,NA,7/8/11,14,9,5,high,high
rota,midfig,aglaia,ungulate,NA,7/8/11,14,9,5,high,high
rota,palie,aglaia,ungulate,NA,7/7/11,14,9,5,low,low
rota,paliw,aglaia,ungulate,NA,7/7/11,14,11,3,low,low
guam,ann,carica,fenced,4/10/10,10/10/10,14,13,1,low,high
guam,ans,carica,fenced,4/10/10,10/10/10,14,4,10,low,low
guam,nblas,carica,fenced,4/10/10,10/10/10,14,1,13,low,low
guam,race,carica,fenced,4/10/10,10/10/10,14,4,10,high,high
guam,racefr,carica,fenced,4/10/10,10/10/10,14,14,0,low,low
guam,ritdgate,carica,fenced,4/7/10,10/10/10,14,13,1,high,high
guam,ritdgrid,carica,fenced,4/10/10,10/10/10,14,11,3,high,high
guam,sblas,carica,fenced,4/10/10,10/10/10,14,14,0,high,low
guam,ann,carica,ungulate,4/10/10,10/10/10,14,13,1,low,high
guam,ans,carica,ungulate,4/10/10,10/10/10,14,0,14,low,low
guam,nblas,carica,ungulate,4/10/10,10/10/10,14,0,14,low,low
guam,race,carica,ungulate,4/10/10,10/10/10,14,11,3,high,high
guam,racefr,carica,ungulate,4/10/10,10/10/10,14,10,4,low,low
guam,ritdgate,carica,ungulate,4/7/10,10/10/10,14,2,12,high,high
guam,ritdgrid,carica,ungulate,4/10/10,10/10/10,14,1,13,high,high
guam,sblas,carica,ungulate,4/10/10,10/10/10,14,0,14,high,low
rota,bird,carica,fenced,NA,10/10/11,9,2,7,high,low
rota,cross,carica,fenced,NA,10/10/11,9,8,1,low,low
rota,grvpt,carica,fenced,NA,10/10/11,9,8,1,high,high
rota,jsc,carica,fenced,NA,10/10/11,9,0,9,high,high
rota,midfig,carica,fenced,NA,10/10/11,9,0,9,high,high
rota,palie,carica,fenced,NA,10/10/11,9,7,2,low,low
rota,paliw,carica,fenced,NA,10/10/11,9,5,4,low,low
rota,bird,carica,ungulate,NA,10/10/11,9,0,9,high,low
rota,cross,carica,ungulate,NA,10/10/11,9,1,8,low,low
rota,grvpt,carica,ungulate,NA,10/10/11,9,1,8,high,high
rota,jsc,carica,ungulate,NA,10/10/11,9,0,9,high,high
rota,midfig,carica,ungulate,NA,10/10/11,9,0,9,high,high
rota,palie,carica,ungulate,NA,10/10/11,9,6,3,low,low
rota,paliw,carica,ungulate,NA,10/10/11,9,6,3,low,low
guam,ann,morinda,fenced,6/17/10,6/30/11,14,12,2,low,high
guam,ans,morinda,fenced,6/17/10,6/30/11,14,8,6,low,low
guam,nblas,morinda,fenced,6/17/10,6/30/11,14,13,1,low,low
guam,race,morinda,fenced,6/24/10,7/1/11,14,14,0,high,high
guam,racefr,morinda,fenced,6/24/10,7/1/11,14,6,8,low,low
guam,ritdgate,morinda,fenced,6/16/10,7/1/11,14,14,0,high,high
guam,ritdgrid,morinda,fenced,6/17/10,7/1/11,14,9,5,high,high
guam,sblas,morinda,fenced,6/17/10,6/30/11,14,14,0,high,low
guam,ann,morinda,ungulate,6/17/10,6/30/11,14,10,4,low,high
guam,ans,morinda,ungulate,6/17/10,6/30/11,14,11,3,low,low
guam,nblas,morinda,ungulate,6/17/10,6/30/11,14,13,1,low,low
guam,race,morinda,ungulate,6/24/10,7/1/11,14,11,3,high,high
guam,racefr,morinda,ungulate,6/24/10,7/1/11,14,11,3,low,low
guam,ritdgate,morinda,ungulate,6/16/10,7/1/11,14,5,9,high,high
guam,ritdgrid,morinda,ungulate,6/17/10,7/1/11,14,5,9,high,high
guam,sblas,morinda,ungulate,6/17/10,6/30/11,14,2,12,high,low
rota,bird,morinda,fenced,NA,7/7/11,11,4,7,high,low
rota,cross,morinda,fenced,NA,7/9/11,11,7,4,low,low
rota,grvpt,morinda,fenced,NA,7/8/11,11,8,3,high,high
rota,jsc,morinda,fenced,NA,7/8/11,11,2,9,high,high
rota,midfig,morinda,fenced,NA,7/8/11,11,0,11,high,high
rota,palie,morinda,fenced,NA,7/7/11,11,11,0,low,low
rota,paliw,morinda,fenced,NA,7/7/11,11,2,9,low,low
rota,bird,morinda,ungulate,NA,7/7/11,11,1,10,high,low
rota,cross,morinda,ungulate,NA,7/9/11,11,0,11,low,low
rota,grvpt,morinda,ungulate,NA,7/8/11,11,9,2,high,high
rota,jsc,morinda,ungulate,NA,7/8/11,11,8,3,high,high
rota,midfig,morinda,ungulate,NA,7/8/11,11,0,11,high,high
rota,palie,morinda,ungulate,NA,7/7/11,11,4,7,low,low
rota,paliw,morinda,ungulate,NA,7/7/11,11,2,9,low,low
guam,ann,neiso,fenced,5/8/10,6/30/11,7,7,0,low,high
guam,ans,neiso,fenced,5/11/10,6/30/11,7,3,4,low,low
guam,nblas,neiso,fenced,5/12/10,6/30/11,7,7,0,low,low
guam,race,neiso,fenced,5/11/10,7/1/11,7,7,0,high,high
guam,racefr,neiso,fenced,5/12/10,7/1/11,7,6,1,low,low
guam,ritdgate,neiso,fenced,5/14/10,7/1/11,7,4,3,high,high
guam,ritdgrid,neiso,fenced,5/16/10,7/1/11,7,7,0,high,high
guam,sblas,neiso,fenced,5/14/10,6/30/11,7,7,0,high,low
guam,ann,neiso,ungulate,5/8/10,6/30/11,7,7,0,low,high
guam,ans,neiso,ungulate,5/11/10,6/30/11,7,4,3,low,low
guam,nblas,neiso,ungulate,5/12/10,6/30/11,7,7,0,low,low
guam,race,neiso,ungulate,5/11/10,7/1/11,7,7,0,high,high
guam,racefr,neiso,ungulate,5/12/10,7/1/11,7,7,0,low,low
guam,ritdgate,neiso,ungulate,5/14/10,7/1/11,7,3,4,high,high
guam,ritdgrid,neiso,ungulate,5/16/10,7/1/11,7,5,2,high,high
guam,sblas,neiso,ungulate,5/14/10,6/30/11,7,6,1,high,low
rota,bird,neiso,fenced,NA,7/7/11,9,1,8,high,low
rota,cross,neiso,fenced,NA,7/9/11,9,7,2,low,low
rota,grvpt,neiso,fenced,NA,7/8/11,9,5,4,high,high
rota,jsc,neiso,fenced,NA,7/8/11,9,0,9,high,high
rota,midfig,neiso,fenced,NA,7/8/11,9,1,8,high,high
rota,palie,neiso,fenced,NA,7/7/11,9,7,2,low,low
rota,paliw,neiso,fenced,NA,7/7/11,9,3,6,low,low
rota,bird,neiso,ungulate,NA,7/7/11,9,0,9,high,low
rota,cross,neiso,ungulate,NA,7/9/11,9,6,3,low,low
rota,grvpt,neiso,ungulate,NA,7/8/11,9,6,3,high,high
rota,jsc,neiso,ungulate,NA,7/8/11,9,7,2,high,high
rota,midfig,neiso,ungulate,NA,7/8/11,9,0,9,high,high
rota,palie,neiso,ungulate,NA,7/7/11,9,5,4,low,low
rota,paliw,neiso,ungulate,NA,7/7/11,9,7,2,low,low
guam,ann,premna,fenced,12/4/10,6/30/11,14,0,14,low,high
guam,ans,premna,fenced,12/4/10,6/30/11,14,0,14,low,low
guam,nblas,premna,fenced,12/7/10,6/30/11,14,8,6,low,low
guam,race,premna,fenced,12/7/10,7/1/11,14,7,7,high,high
guam,racefr,premna,fenced,12/7/10,7/1/11,14,0,14,low,low
guam,ritdgate,premna,fenced,12/7/10,7/1/11,14,12,2,high,high
guam,ritdgrid,premna,fenced,12/8/10,7/1/11,14,0,14,high,high
guam,sblas,premna,fenced,12/7/10,6/30/11,14,9,5,high,low
guam,ann,premna,ungulate,12/4/10,6/30/11,14,0,14,low,high
guam,ans,premna,ungulate,12/4/10,6/30/11,14,0,14,low,low
guam,nblas,premna,ungulate,12/7/10,6/30/11,14,2,12,low,low
guam,race,premna,ungulate,12/7/10,7/1/11,14,8,6,high,high
guam,racefr,premna,ungulate,12/7/10,7/1/11,14,0,14,low,low
guam,ritdgate,premna,ungulate,12/7/10,7/1/11,14,3,11,high,high
guam,ritdgrid,premna,ungulate,12/8/10,7/1/11,14,4,10,high,high
guam,sblas,premna,ungulate,12/7/10,6/30/11,14,1,13,high,low
rota,bird,premna,fenced,NA,7/7/11,14,1,13,high,low
rota,cross,premna,fenced,NA,7/9/11,14,4,10,low,low
rota,grvpt,premna,fenced,NA,7/8/11,14,8,6,high,high
rota,jsc,premna,fenced,NA,7/8/11,14,4,10,high,high
rota,midfig,premna,fenced,NA,7/8/11,14,0,14,high,high
rota,palie,premna,fenced,NA,7/7/11,14,6,8,low,low
rota,paliw,premna,fenced,NA,7/7/11,14,1,13,low,low
rota,bird,premna,ungulate,NA,7/7/11,14,0,14,high,low
rota,cross,premna,ungulate,NA,7/9/11,14,1,13,low,low
rota,grvpt,premna,ungulate,NA,7/8/11,14,5,9,high,high
rota,jsc,premna,ungulate,NA,7/8/11,14,6,8,high,high
rota,midfig,premna,ungulate,NA,7/8/11,14,0,14,high,high
rota,palie,premna,ungulate,NA,7/7/11,14,0,14,low,low
rota,paliw,premna,ungulate,NA,7/7/11,14,0,14,low,low
guam,ann,psychotria,fenced,3/10/11,6/30/11,14,12,2,low,high
guam,ans,psychotria,fenced,3/10/11,6/30/11,14,6,8,low,low
guam,nblas,psychotria,fenced,3/9/11,6/30/11,14,12,2,low,low
guam,race,psychotria,fenced,3/9/11,7/1/11,14,14,0,high,high
guam,racefr,psychotria,fenced,3/11/11,7/1/11,14,5,9,low,low
guam,ritdgate,psychotria,fenced,3/11/11,7/1/11,14,14,0,high,high
guam,ritdgrid,psychotria,fenced,3/12/11,7/1/11,14,13,1,high,high
guam,sblas,psychotria,fenced,3/12/11,6/30/11,14,11,3,high,low
guam,ann,psychotria,ungulate,3/10/11,6/30/11,14,8,6,low,high
guam,ans,psychotria,ungulate,3/10/11,6/30/11,14,4,10,low,low
guam,nblas,psychotria,ungulate,3/9/11,6/30/11,14,5,9,low,low
guam,race,psychotria,ungulate,3/9/11,7/1/11,14,11,3,high,high
guam,racefr,psychotria,ungulate,3/11/11,7/1/11,14,4,10,low,low
guam,ritdgate,psychotria,ungulate,3/11/11,7/1/11,14,11,3,high,high
guam,ritdgrid,psychotria,ungulate,3/12/11,7/1/11,14,6,8,high,high
guam,sblas,psychotria,ungulate,3/12/11,6/30/11,14,5,9,high,low
rota,bird,psychotria,fenced,2/5/11,7/7/11,14,11,3,high,low
rota,cross,psychotria,fenced,2/8/11,7/9/11,14,8,6,low,low
rota,grvpt,psychotria,fenced,2/10/11,7/8/11,14,10,4,high,high
rota,jsc,psychotria,fenced,2/10/11,7/8/11,14,11,3,high,high
rota,midfig,psychotria,fenced,2/11/11,7/8/11,14,5,9,high,high
rota,palie,psychotria,fenced,2/9/11,7/7/11,14,14,0,low,low
rota,paliw,psychotria,fenced,2/9/11,7/7/11,14,2,12,low,low
rota,bird,psychotria,ungulate,2/5/11,7/7/11,14,10,4,high,low
rota,cross,psychotria,ungulate,2/8/11,7/9/11,14,8,6,low,low
rota,grvpt,psychotria,ungulate,2/10/11,7/8/11,14,11,3,high,high
rota,jsc,psychotria,ungulate,2/10/11,7/8/11,14,11,3,high,high
rota,midfig,psychotria,ungulate,2/11/11,7/8/11,14,7,7,high,high
rota,palie,psychotria,ungulate,2/9/11,7/7/11,14,11,3,low,low
rota,paliw,psychotria,ungulate,2/9/11,7/7/11,14,10,4,low,low
,,,,,,,,,,
