Site,Trt,Species,Height,DBH
Racetrack,Fenced,Eugenia reinwardtiana,7,4
Racetrack,Fenced,Eugenia reinwardtiana,6,5
Racetrack,Fenced,Eugenia reinwardtiana,5,4
Racetrack,Fenced,Eugenia reinwardtiana,7,5
Racetrack,Fenced,Eugenia reinwardtiana,6,5
Racetrack,Fenced,Eugenia reinwardtiana,5,3
Racetrack,Fenced,Eugenia reinwardtiana,6.5,5
Racetrack,Fenced,Eugenia reinwardtiana,7,7
Racetrack,Fenced,Eugenia reinwardtiana,7,8
Racetrack,Fenced,Eugenia reinwardtiana,7.5,8
Racetrack,Fenced,Eugenia reinwardtiana,5,4
Racetrack,Fenced,Eugenia reinwardtiana,4,3
Racetrack,Fenced,Eugenia reinwardtiana,6,5
Racetrack,Fenced,Eugenia reinwardtiana,8,3
Racetrack,Ungulate,Eugenia reinwardtiana,6,3
Racetrack,Ungulate,Eugenia reinwardtiana,7,4
Racetrack,Ungulate,Eugenia reinwardtiana,5,4
Racetrack,Ungulate,Eugenia reinwardtiana,6,2
Racetrack,Ungulate,Eugenia reinwardtiana,8,5
Racetrack,Ungulate,Eugenia reinwardtiana,7,6
Racetrack,Ungulate,Eugenia reinwardtiana,6.5,6
Racetrack,Ungulate,Eugenia reinwardtiana,6,4
Racetrack,Ungulate,Meiogyne cylindrocarpa,6,2
Racetrack,Ungulate,Meiogyne cylindrocarpa,9,8
Ritidian Grid,Fenced,Aglaia mariannensis,7,12
Ritidian Grid,Fenced,Ochrosia oppositifolia,12,20
Ritidian Grid,Fenced,Ochrosia oppositifolia,12,23
Ritidian Grid,Fenced,Ochrosia oppositifolia,10,22
Ritidian Grid,Fenced,Meiogyne cylindrocarpa,8,5
Ritidian Grid,Fenced,Aglaia mariannensis,6,6
Ritidian Grid,Ungulate,Ochrosia oppositifolia,11,22
Ritidian Grid,Ungulate,Ochrosia oppositifolia,10,22
Ritidian Grid,Ungulate,Cycas micronesica,2.5,12
Ritidian Grid,Ungulate,Ochrosia oppositifolia,10,13
Ritidian Grid,Ungulate,Psychotria mariana,8,12
Ritidian Gate,Fenced,Ochrosia oppositifolia,9,18
Ritidian Gate,Fenced,Ochrosia oppositifolia,11,18
Ritidian Gate,Fenced,Ochrosia oppositifolia,12,22
Ritidian Gate,Fenced,Ochrosia oppositifolia,11,20
Ritidian Gate,Fenced,Ochrosia oppositifolia,10,15
Ritidian Gate,Fenced,Triphasia trifolia,3,3
Ritidian Gate,Fenced,Aglaia mariannensis,5,6
Ritidian Gate,Ungulate,Mammea odorata,6,4
Ritidian Gate,Ungulate,Aglaia mariannensis,7,12
Ritidian Gate,Ungulate,Aglaia mariannensis,7,9
Ritidian Gate,Ungulate,Mammea odorata,9,19
Ritidian Gate,Ungulate,Ochrosia oppositifolia,9,12
Anao North,Fenced,Ochrosia oppositifolia,13,20
Anao North,Fenced,Ochrosia oppositifolia,12,10
Anao North,Fenced,Ochrosia oppositifolia,12,10
Anao North,Fenced,Ochrosia oppositifolia,10,8
Anao North,Fenced,Ochrosia oppositifolia,6,4
Anao North,Fenced,Meiogyne cylindrocarpa,5,8
Anao North,Ungulate,Meiogyne cylindrocarpa,4,14
Anao North,Ungulate,Ochrosia oppositifolia,15,23
Anao North,Ungulate,Macaranga thompsonii,14,22
Anao North,Ungulate,Cycas micronesica,2.5,24
Anao North,Ungulate,Ochrosia oppositifolia,10,12
Anao North,Ungulate,Ochrosia oppositifolia,10,12
Anao North,Ungulate,Macaranga thompsonii,18,25
Anao North,Ungulate,Macaranga thompsonii,15,20
Anao South,Fenced,Mammea odorata,13,20
Anao South,Fenced,Mammea odorata,9,12
Anao South,Fenced,Aglaia mariannensis,5,11
Anao South,Fenced,Meiogyne cylindrocarpa,8,10
Anao South,Fenced,Ochrosia oppositifolia,10,13
Anao South,Fenced,Mammea odorata,15,14
Anao South,Fenced,Meiogyne cylindrocarpa,6,4
Anao South,Ungulate,Mammea odorata,13,6
Anao South,Ungulate,Ochrosia oppositifolia,15,23
Anao South,Ungulate,Ochrosia oppositifolia,12,4
Anao South,Ungulate,Mammea odorata,12,3
Anao South,Ungulate,Cynometra ramiflora,7,5
Anao South,Ungulate,Meiogyne cylindrocarpa,3,3
Anao South,Ungulate,Meiogyne cylindrocarpa,3,3
Anao South,Ungulate,Meiogyne cylindrocarpa,8,10
Anao South,Ungulate,Meiogyne cylindrocarpa,7,4
Anao South,Ungulate,Meiogyne cylindrocarpa,7,4
Anao South,Ungulate,Aglaia mariannensis,8,6
North Blas,Fenced,Aglaia mariannensis,15,18
North Blas,Fenced,Syzigium thompsonii,11,18
North Blas,Fenced,Macaranga thompsonii,15,23
North Blas,Fenced,Aglaia mariannensis,9,4
North Blas,Fenced,Cynometra ramiflora,2,3
North Blas,Fenced,Morinda citrifolia,13,7
North Blas,Fenced,Mammea odorata,3,3
North Blas,Fenced,Aglaia mariannensis,6,7
North Blas,Fenced,Aglaia mariannensis,6,8
North Blas,Fenced,Cynometra ramiflora,3,4
North Blas,Fenced,Cynometra ramiflora,3,4
North Blas,Fenced,Morinda citrifolia,7,5
North Blas,Fenced,Meiogyne cylindrocarpa,6,3
North Blas,Ungulate,Aglaia mariannensis,10,5
North Blas,Ungulate,Aglaia mariannensis,9,3
North Blas,Ungulate,Meiogyne cylindrocarpa,9,7
North Blas,Ungulate,Meiogyne cylindrocarpa,3,2
North Blas,Ungulate,Mammea odorata,7,5
North Blas,Ungulate,Meiogyne cylindrocarpa,8,6
North Blas,Ungulate,Aglaia mariannensis,8,6
North Blas,Ungulate,Meiogyne cylindrocarpa,8,4
South Blas,Fenced,Ochrosia mariannensis,9,6
South Blas,Fenced,Ochrosia mariannensis,8,9
South Blas,Fenced,Meiogyne cylindrocarpa,7,3
South Blas,Fenced,Meiogyne cylindrocarpa,7,6
South Blas,Fenced,Meiogyne cylindrocarpa,5,8
South Blas,Fenced,Meiogyne cylindrocarpa,6,4
South Blas,Fenced,Ochrosia oppositifolia,8,10
South Blas,Fenced,Meiogyne cylindrocarpa,5,3
South Blas,Ungulate,Ochrosia mariannensis,9,12
South Blas,Ungulate,Ochrosia mariannensis,9,13
South Blas,Ungulate,Meiogyne cylindrocarpa,7,3
South Blas,Ungulate,Macaranga thompsonii,8,4
South Blas,Ungulate,Meiogyne cylindrocarpa,7,4
South Blas,Ungulate,Meiogyne cylindrocarpa,6,4
Racetrack Fragment,Fenced,Eugenia reinwardtiana,8,3
Racetrack Fragment,Fenced,Aglaia mariannensis,8,5
Racetrack Fragment,Fenced,Eugenia reinwardtiana,9,4
Racetrack Fragment,Fenced,Eugenia reinwardtiana,6,3
Racetrack Fragment,Fenced,Eugenia reinwardtiana,8,4
Racetrack Fragment,Fenced,Eugenia reinwardtiana,8,4
Racetrack Fragment,Fenced,Eugenia reinwardtiana,6,4
Racetrack Fragment,Fenced,Eugenia reinwardtiana,10,6
Racetrack Fragment,Fenced,Eugenia reinwardtiana,6,3
Racetrack Fragment,Fenced,Eugenia reinwardtiana,6,3
Racetrack Fragment,Fenced,Eugenia reinwardtiana,6.5,3
Racetrack Fragment,Fenced,Aglaia mariannensis,8,6
Racetrack Fragment,Ungulate,Eugenia reinwardtiana,6,3
Racetrack Fragment,Ungulate,Eugenia reinwardtiana,6,4
Racetrack Fragment,Ungulate,Eugenia reinwardtiana,6,3
Racetrack Fragment,Ungulate,Eugenia reinwardtiana,7,6
Racetrack Fragment,Ungulate,Eugenia reinwardtiana,8,5
Racetrack Fragment,Ungulate,Eugenia reinwardtiana,6,4
Racetrack Fragment,Ungulate,Eugenia reinwardtiana,7.5,4
Racetrack Fragment,Ungulate,Eugenia reinwardtiana,8.5,4
Racetrack Fragment,Ungulate,Eugenia reinwardtiana,5,3
