Date,Site,Transect,Distance,Spp.,Height (m),Seedling?,Species Counts,morphology
10/5/2011,AAFB GOLF,1,49.1,AGMA,,1,41,tree
10/5/2011,AAFB GOLF,1,43.2,AGMA,,1,41,tree
10/5/2011,AAFB GOLF,1,42.6,AGMA,,1,41,tree
10/5/2011,AAFB GOLF,1,40.4,AGMA,,1,41,tree
10/5/2011,AAFB GOLF,1,38.1,AGMA,,1,41,tree
10/5/2011,AAFB GOLF,1,37.8,AGMA,,1,41,tree
10/5/2011,AAFB GOLF,1,36.2,AGMA,,1,41,tree
10/5/2011,AAFB GOLF,1,32.7,AGMA,,1,41,tree
10/5/2011,AAFB GOLF,1,29.8,AGMA,,1,41,tree
10/5/2011,AAFB GOLF,1,29.2,AGMA,,1,41,tree
10/5/2011,AAFB GOLF,1,27.9,AGMA,,1,41,tree
10/5/2011,AAFB GOLF,1,26.6,AGMA,,1,41,tree
10/5/2011,AAFB GOLF,1,21.1,AGMA,,1,41,tree
10/5/2011,AAFB GOLF,1,19.1,AGMA,,1,41,tree
10/5/2011,AAFB GOLF,1,5.3,AGMA,,1,41,tree
10/5/2011,AAFB GOLF,2,47.9,AGMA,,1,41,tree
10/5/2011,AAFB GOLF,2,39.8,AGMA,,1,41,tree
10/5/2011,AAFB GOLF,2,28.7,AGMA,,1,41,tree
10/5/2011,AAFB GOLF,2,10.8,AGMA,,1,41,tree
10/5/2011,AAFB GOLF,2,6,AGMA,,1,41,tree
10/5/2011,AAFB GOLF,1,42.4,AGMA,,2,41,tree
10/5/2011,AAFB GOLF,1,22.5,AGMA,,2,41,tree
10/5/2011,AAFB GOLF,1,19.4,AGMA,,2,41,tree
10/5/2011,AAFB GOLF,1,41.8,AGMA,,3,41,tree
10/5/2011,AAFB GOLF,1,42.9,AGMA,,4,41,tree
10/5/2011,AAFB GOLF,1,42.1,AGMA,,6,41,tree
10/5/2011,AAFB GOLF,1,40.8,AGMA,2.3,,41,tree
10/5/2011,AAFB GOLF,1,40.3,AGMA,1.2,,41,tree
10/5/2011,AAFB GOLF,1,32.4,AGMA,10,,41,tree
10/5/2011,AAFB GOLF,1,29.8,AGMA,6,,41,tree
10/5/2011,AAFB GOLF,1,28.8,AGMA,1.8,,41,tree
10/5/2011,AAFB GOLF,1,6.7,AGMA,7.2,,41,tree
10/5/2011,AAFB GOLF,2,48,AGMA,7,,41,tree
10/5/2011,AAFB GOLF,2,33.9,AGMA,1.9,,41,tree
10/5/2011,AAFB GOLF,2,32.3,AGMA,6.2,,41,tree
10/5/2011,AAFB GOLF,2,32,AGMA,10,,41,tree
10/5/2011,AAFB GOLF,2,22,AGMA,7.1,,41,tree
10/5/2011,AAFB GOLF,2,17.8,AGMA,7,,41,tree
10/5/2011,AAFB GOLF,2,17.4,AGMA,8.1,,41,tree
10/5/2011,AAFB GOLF,2,5.5,AGMA,6.2,,41,tree
10/5/2011,AAFB GOLF,2,5.5,AGMA,0.2,,41,tree
8/24/2011,ANAO N,1,38,AGMA,,1,50,tree
8/24/2011,ANAO N,1,36.1,AGMA,,1,50,tree
8/24/2011,ANAO N,1,33.2,AGMA,,1,50,tree
8/24/2011,ANAO N,1,31.1,AGMA,,1,50,tree
8/24/2011,ANAO N,1,20.1,AGMA,,1,50,tree
8/24/2011,ANAO N,1,17.5,AGMA,,1,50,tree
8/24/2011,ANAO N,1,11.7,AGMA,,1,50,tree
8/24/2011,ANAO N,1,10.4,AGMA,,1,50,tree
8/24/2011,ANAO N,1,2.1,AGMA,,1,50,tree
8/24/2011,ANAO N,2,36.3,AGMA,,1,50,tree
8/24/2011,ANAO N,2,12.2,AGMA,,1,50,tree
8/24/2011,ANAO N,2,11.5,AGMA,,1,50,tree
8/24/2011,ANAO N,2,10.9,AGMA,,1,50,tree
8/24/2011,ANAO N,2,9.8,AGMA,,1,50,tree
8/24/2011,ANAO N,2,4.3,AGMA,,1,50,tree
8/24/2011,ANAO N,1,31.5,AGMA,,2,50,tree
8/24/2011,ANAO N,1,27.2,AGMA,,2,50,tree
8/24/2011,ANAO N,1,20.7,AGMA,,2,50,tree
