site,deer,sdls,native_exotic,pig
aafbgolf,3.833333334,88,native,0.166666667
anaon,0.368731564,287,native,0.221238938
anaos,0.384615385,603,native,0.128205128
gw,0.00005,931,native,0.00005
hmu,0.12987013,121,native,0.00005
nblas,0.222222222,507,native,0.00005
nwfield,6.583629895,46,native,0.177935943
race,0.595238095,779,native,1.190476191
ritdgate,2.321083172,142,native,0.483558994
ritdgrid,5.175983435,320,native,0.414078675
sblas,5.432372505,180,native,0.554323725
swb,0.777777778,106,native,0.222222222
tangison,0.00005,901,native,0.129198967
tartop,10.03937008,71,native,0.393700788
aafbgolf,3.833333334,24,exotic,0.166666667
anaon,0.368731564,8,exotic,0.221238938
anaos,0.384615385,14,exotic,0.128205128
gw,0.00005,97,exotic,0.00005
hmu,0.12987013,24,exotic,0.00005
nblas,0.222222222,19,exotic,0.00005
nwfield,6.583629895,12,exotic,0.177935943
race,0.595238095,27,exotic,1.190476191
ritdgate,2.321083172,43,exotic,0.483558994
ritdgrid,5.175983435,10,exotic,0.414078675
sblas,5.432372505,25,exotic,0.554323725
swb,0.777777778,42,exotic,0.222222222
tangison,0.00005,211,exotic,0.129198967
tartop,10.03937008,0,exotic,0.393700788
