island,site,species,plantdt,trt,numplant,checkdt,alive,dead,deer abundance,pig abundance,growtime
guam,ann,aglaia,11/11/2010,fenced,14,6/30/2011,11,3,low,high,231
guam,ann,aglaia,11/11/2010,ungulate,14,6/30/2011,12,2,low,high,231
guam,ans,aglaia,11/10/2010,fenced,14,6/30/2011,9,5,low,low,232
guam,ans,aglaia,11/10/2010,ungulate,14,6/30/2011,4,10,low,low,232
guam,nblas,aglaia,11/12/2010,fenced,14,6/30/2011,11,3,low,low,230
guam,nblas,aglaia,11/12/2010,ungulate,14,6/30/2011,9,5,low,low,230
guam,race,aglaia,11/12/2010,fenced,14,7/1/2011,13,1,high,high,231
guam,race,aglaia,11/12/2010,ungulate,14,7/1/2011,14,0,high,high,231
guam,racefr,aglaia,11/11/2010,fenced,14,7/1/2011,6,8,low,low,232
guam,racefr,aglaia,11/11/2010,ungulate,14,7/1/2011,7,7,low,low,232
guam,ritdgate,aglaia,11/13/2010,fenced,14,7/1/2011,14,0,high,high,230
guam,ritdgate,aglaia,11/13/2010,ungulate,14,7/1/2011,9,5,high,high,230
guam,ritdgrid,aglaia,11/13/2010,fenced,14,7/1/2011,12,2,high,high,230
guam,ritdgrid,aglaia,11/13/2010,ungulate,14,7/1/2011,13,1,high,high,230
guam,sblas,aglaia,11/12/2010,fenced,14,6/30/2011,10,4,high,low,230
guam,sblas,aglaia,11/12/2010,ungulate,14,6/30/2011,8,6,high,low,230
guam,ann,carica,4/10/2010,fenced,14,10/10/2010,13,1,low,high,183
guam,ann,carica,4/10/2010,ungulate,14,10/10/2010,13,1,low,high,183
guam,ans,carica,4/10/2010,fenced,14,10/10/2010,4,10,low,low,183
guam,ans,carica,4/10/2010,ungulate,14,10/10/2010,0,14,low,low,183
guam,nblas,carica,4/10/2010,fenced,14,10/10/2010,1,13,low,low,183
guam,nblas,carica,4/10/2010,ungulate,14,10/10/2010,0,14,low,low,183
guam,race,carica,4/10/2010,fenced,14,10/10/2010,4,10,high,high,183
guam,race,carica,4/10/2010,ungulate,14,10/10/2010,11,3,high,high,183
guam,racefr,carica,4/10/2010,fenced,14,10/10/2010,14,0,low,low,183
guam,racefr,carica,4/10/2010,ungulate,14,10/10/2010,10,4,low,low,183
guam,ritdgate,carica,4/10/2010,fenced,14,10/10/2010,13,1,high,high,183
guam,ritdgate,carica,4/10/2010,ungulate,14,10/10/2010,2,12,high,high,183
guam,ritdgrid,carica,4/10/2010,fenced,14,10/10/2010,11,3,high,high,183
guam,ritdgrid,carica,4/10/2010,ungulate,14,10/10/2010,1,13,high,high,183
guam,sblas,carica,4/10/2010,fenced,14,10/10/2010,14,0,high,low,183
guam,sblas,carica,4/10/2010,ungulate,14,10/10/2010,0,14,high,low,183
guam,ann,morinda,6/17/2010,fenced,14,6/30/2011,12,2,low,high,378
guam,ann,morinda,6/17/2010,ungulate,14,6/30/2011,10,4,low,high,378
guam,ans,morinda,6/17/2010,fenced,14,6/30/2011,8,6,low,low,378
guam,ans,morinda,6/17/2010,ungulate,14,6/30/2011,11,3,low,low,378
guam,nblas,morinda,6/17/2010,fenced,14,6/30/2011,13,1,low,low,378
guam,nblas,morinda,6/17/2010,ungulate,14,6/30/2011,13,1,low,low,378
guam,race,morinda,6/24/2010,fenced,14,7/1/2011,14,0,high,high,372
guam,race,morinda,6/24/2010,ungulate,14,7/1/2011,11,3,high,high,372
guam,racefr,morinda,6/24/2010,fenced,14,7/1/2011,6,8,low,low,372
guam,racefr,morinda,6/24/2010,ungulate,14,7/1/2011,11,3,low,low,372
